feature,chi2
dst_host_count,957425.8043
service,82437.93956
duration,7082565.304
srv_rerror_rate,6997.367718
dst_host_srv_count,6968826.698
rerror_rate,6923.373013
dst_host_same_src_port_rate,692.7567558
dst_host_srv_rerror_rate,6866.941117
count,6525616.721
dst_host_rerror_rate,6354.755808
land,6.512199408
flag,54653.93293
root_shell,51.76936802
level,4889.745829
hot,487.6709926
num_access_files,409.0339657
dst_host_srv_serror_rate,38543.82224
srv_serror_rate,37451.32466
serror_rate,37364.83554
dst_host_serror_rate,37225.46649
logged_in,36259.73858
src_bytes,3340257591
wrong_fragment,3282.678424
num_root,32550.97103
dst_host_diff_srv_rate,3197.842615
diff_srv_rate,2694.210072
num_compromised,26894.75328
dst_host_same_srv_rate,23448.20854
same_srv_rate,20826.4141
num_failed_logins,2.974008944
is_guest_login,192.5319502
dst_host_srv_diff_host_rate,190.5539101
dst_bytes,1746063122
protocol_type,1723.28957
srv_count,14.13591775
num_shells,13.47133903
srv_diff_host_rate,1245.395262
su_attempted,117.3052955
num_file_creations,1053.573989
urgent,1.81718123
is_host_login,0.870630513
num_outbound_cmds,nan
