feature,binaryoutcome
dst_host_srv_serror_rate,-0.654984095
dst_host_serror_rate,-0.65184019
serror_rate,-0.650650817
srv_serror_rate,-0.648287419
count,-0.576442123
dst_host_count,-0.375051144
service,-0.276544768
srv_rerror_rate,-0.253502206
dst_host_srv_rerror_rate,-0.253428381
rerror_rate,-0.253395355
dst_host_rerror_rate,-0.252561985
dst_host_diff_srv_rate,-0.242896798
diff_srv_rate,-0.203658177
wrong_fragment,-0.095905152
dst_host_same_src_port_rate,-0.09244527
dst_host_srv_diff_host_rate,-0.062330433
duration,-0.048784682
land,-0.007190679
src_bytes,-0.005921286
dst_bytes,-0.004117513
srv_count,-0.000768091
is_host_login,0.002628946
urgent,0.002787099
num_failed_logins,0.003755287
num_shells,0.009472168
num_compromised,0.010198449
num_root,0.011452623
hot,0.013084164
root_shell,0.020285744
num_file_creations,0.021270997
su_attempted,0.022448755
num_access_files,0.036700938
is_guest_login,0.039279886
srv_diff_host_rate,0.119380436
protocol_type,0.281356701
level,0.379706704
flag,0.647071129
logged_in,0.690180913
dst_host_same_srv_rate,0.693812711
dst_host_srv_count,0.722545856
same_srv_rate,0.751912098
binaryoutcome,1
num_outbound_cmds,
